"cohortId","cohortName","atlasId","description","createdDate","modifiedDate","librarian","cohortNameFormatted","lastModifiedBy","cohortNameLong","status","addedVersion","logicDescription","hashTag","contributors","contributorOrcIds","contributorOrganizations","peerReviewers","peerReviewerOrcIds","recommendedReferentConceptIds","ohdsiForumPost","replaces","notes","cohortNameAtlas","recommendedEraPersistenceDurations","recommendedEraCollapseDurations","recommendSubsetOperators","id","name"
372,"[P] Otitis media",372,"cohortNameLong : Otitis media;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Otitis media;
hashTag : #respiratory;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 372328;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Otitis media",,"Otitis media","Pending peer review","","All events of Otitis media","#respiratory","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","372328","","",,,,,,372,372
373,"[P] Iron deficiency Anemia",373,"cohortNameLong : Iron deficiency Anemia;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of iron deficiency anemia;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 439777;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-hemolytic-anemia/17856;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Iron deficiency Anemia",,"Iron deficiency Anemia","Pending peer review","","all events of iron deficiency anemia","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","439777","https//forums.ohdsi.org/t/phenotype-submission-hemolytic-anemia/17856","",,,,,,373,373
374,"[P][R] Drug dependence ",374,"cohortNameLong : Drug dependence;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Drug dependence. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 437264, 440069;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Drug dependence",,"Drug dependence","Pending peer review","","all events of Drug dependence. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","437264, 440069","","",,,,,,374,374
375,"[P] Gall stone disorder",375,"cohortNameLong : Gall stone disorder;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Gall stone;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 444367, 4145627;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Gall stone disorder",,"Gall stone disorder","Pending peer review","","all events of Gall stone","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","444367, 4145627","","",,,,,,375,375
376,"[P][R] Bleeding skin ",376,"cohortNameLong : Bleeding skin;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Bleeding skin. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 441259, 4177600;
ohdsiForumPost : Pending;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Bleeding skin",,"Bleeding skin","Pending peer review","","all events of Bleeding skin. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","441259, 4177600","Pending","",,,,,,376,376
377,"[P][R] Petechiae ",377,"cohortNameLong : Petechiae;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Petechiae. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4155911;
ohdsiForumPost : Pending;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Petechiae",,"Petechiae","Pending peer review","","all events of Petechiae. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4155911","Pending","",,,,,,377,377
378,"[P][R] Purpuric disorder ",378,"cohortNameLong : Purpuric disorder;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Purpuric disorder. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 441259, 4307580;
ohdsiForumPost : Pending;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Purpuric disorder",,"Purpuric disorder","Pending peer review","","all events of Purpuric disorder. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","441259, 4307580","Pending","",,,,,,378,378
379,"[P] Ecchymosis",379,"cohortNameLong : Ecchymosis;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Ecchymosis anywhere;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 438252, 4118793;
ohdsiForumPost : Pending;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Ecchymosis",,"Ecchymosis","Pending peer review","","all events of Ecchymosis anywhere","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","438252, 4118793","Pending","",,,,,,379,379
380,"[P][R] Jaundice ",380,"cohortNameLong : Jaundice;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Jaundice. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 137977, 435656;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Jaundice",,"Jaundice","Pending peer review","","all events of Jaundice. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","137977, 435656","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,380,380
381,"[P] Skin Itching",381,"cohortNameLong : Skin Itching;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : events of skin itching;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 133834, 133835, 135618, 4169287;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Skin Itching",,"Skin Itching","Pending peer review","","events of skin itching","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","133834, 133835, 135618, 4169287","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,381,381
382,"[P] Prurititc Rash",382,"cohortNameLong : Prurititc Rash;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : events of pruritic rash;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 135618, 4169287;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Prurititc Rash",,"Prurititc Rash","Pending peer review","","events of pruritic rash","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","135618, 4169287","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,382,382
383,"[P] Eczematous Atopic Dermatitis and non hyperkeratotic dermatosis",383,"cohortNameLong : Eczematous Atopic Dermatitis and non hyperkeratotic dermatosis;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : ;
hashTag : #skin;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 133834, 133835, 45766714;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Eczematous Atopic Dermatitis and non hyperkeratotic dermatosis",,"Eczematous Atopic Dermatitis and non hyperkeratotic dermatosis","Pending peer review","","","#skin","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","133834, 133835, 45766714","","",,,,,,383,383
384,"[P][R] Contact dermatitis ",384,"cohortNameLong : Contact dermatitis;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Contact dermatitis. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 134438;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Contact dermatitis",,"Contact dermatitis","Pending peer review","","all events of Contact dermatitis. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","134438","","",,,,,,384,384
385,"[P][R] Intertrigo ",385,"cohortNameLong : Intertrigo;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Intertrigo. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4242574;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Intertrigo",,"Intertrigo","Pending peer review","","all events of Intertrigo. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4242574","","",,,,,,385,385
386,"[P][R] Seborrheic dermatitis ",386,"cohortNameLong : Seborrheic dermatitis;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Seborrheic dermatitis. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 137053;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Seborrheic dermatitis",,"Seborrheic dermatitis","Pending peer review","","all events of Seborrheic dermatitis. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","137053","","",,,,,,386,386
387,"[P][R] Photodermatitis ",387,"cohortNameLong : Photodermatitis;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Photodermatitis. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4203600, 4239682, 4331304;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Photodermatitis",,"Photodermatitis","Pending peer review","","all events of Photodermatitis. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4203600, 4239682, 4331304","","",,,,,,387,387
388,"[P][R] Peripheral neuritis ",388,"cohortNameLong : Peripheral neuritis;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Peripheral neuritis. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4027396;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Peripheral neuritis",,"Peripheral neuritis","Pending peer review","","all events of Peripheral neuritis. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4027396","","",,,,,,388,388
389,"[P] Peripheral Neuropathy or Neuritits",389,"cohortNameLong : Peripheral Neuropathy or Neuritits;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : first occurrence of peripheral neuritis or neuropathy;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 4027396, 4117779;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Peripheral Neuropathy or Neuritits",,"Peripheral Neuropathy or Neuritits","Pending peer review","","first occurrence of peripheral neuritis or neuropathy","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","4027396, 4117779","","",,,,,,389,389
391,"[P] Hearing Loss",391,"cohortNameLong : Hearing Loss;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Hearing Loss;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 377889;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Hearing Loss",,"Hearing Loss","Pending peer review","","all events of Hearing Loss","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","377889","","",,,,,,391,391
392,"[P] Otalgia or Otitis",392,"cohortNameLong : Otalgia or Otitis;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Otitis or Otalgia;
hashTag : #symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 372328, 4183452;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Otalgia or Otitis",,"Otalgia or Otitis","Pending peer review","","All events of Otitis or Otalgia","#symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","372328, 4183452","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,392,392
393,"[P] Low Back Pain or Injury",393,"cohortNameLong : Low Back Pain or Injury;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of low back pain or injury;
hashTag : #Symptoms, #Pain;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 312998, 4020345;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Low Back Pain or Injury",,"Low Back Pain or Injury","Pending peer review","","all events of low back pain or injury","#Symptoms, #Pain","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","312998, 4020345","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,393,393
394,"[P] Gastroesophageal reflux disease",394,"cohortNameLong : Gastroesophageal reflux disease;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Gastroesophageal reflux disease;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 23325, 318800, 4091509;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Gastroesophageal reflux disease",,"Gastroesophageal reflux disease","Pending peer review","","all events of Gastroesophageal reflux disease","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","23325, 318800, 4091509","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,394,394
395,"[P] Dysmenorrhea",395,"cohortNameLong : Dysmenorrhea;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Dysmenorrhea;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 443431;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Dysmenorrhea",,"Dysmenorrhea","Pending peer review","","all events of Dysmenorrhea","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","443431","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,395,395
396,"[P][R] Osteoarthritis ",396,"cohortNameLong : Osteoarthritis;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Osteoarthritis. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 80180, 4079750;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Osteoarthritis",,"Osteoarthritis","Pending peer review","","all events of Osteoarthritis. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","80180, 4079750","","",,,,,,396,396
397,"[P][R] Hyperplasia of prostate ",397,"cohortNameLong : Hyperplasia of prostate;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Hyperplasia of prostate. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 197032, 443211;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Hyperplasia of prostate",,"Hyperplasia of prostate","Pending peer review","","all events of Hyperplasia of prostate. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","197032, 443211","","",,,,,,397,397
398,"[P] Bladder Outflow Obstruction",398,"cohortNameLong : Bladder Outflow Obstruction;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Bladder Outflow Obstruction;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 194406, 443211;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Bladder Outflow Obstruction",,"Bladder Outflow Obstruction","Pending peer review","","All events of Bladder Outflow Obstruction","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","194406, 443211","","",,,,,,398,398
399,"[P][R] Urolithiasis ",399,"cohortNameLong : Urolithiasis;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Urolithiasis. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 201620, 4319447;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Urolithiasis",,"Urolithiasis","Pending peer review","","all events of Urolithiasis. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","201620, 4319447","","",,,,,,399,399
400,"[P][R] Malignant tumor of prostate ",400,"cohortNameLong : Malignant tumor of prostate;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Malignant tumor of prostate. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 200962, 4163261;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Malignant tumor of prostate",,"Malignant tumor of prostate","Pending peer review","","all events of Malignant tumor of prostate. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","200962, 4163261","","",,,,,,400,400
401,"[P] Uterine Fibroids or benign uterine tumors",401,"cohortNameLong : Uterine Fibroids or benign uterine tumors;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : Uterine Fibroids;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 197236, 201817;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Uterine Fibroids or benign uterine tumors",,"Uterine Fibroids or benign uterine tumors","Pending peer review","","Uterine Fibroids","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","197236, 201817","","",,,,,,401,401
402,"[P] Ventilatory assist for respiratory findings with Acute Respiratory Failure",402,"cohortNameLong : Ventilatory assist for respiratory findings with Acute Respiratory Failure;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of acute respiratory symptoms commonly seen in acute respiratory failure with procedures for ventilatory assist among persons with respiratory failure;
hashTag : #CriticalCare;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 255573, 4027553;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Ventilatory assist for respiratory findings with Acute Respiratory Failure",,"Ventilatory assist for respiratory findings with Acute Respiratory Failure","Pending peer review","","all events of acute respiratory symptoms commonly seen in acute respiratory failure with procedures for ventilatory assist among persons with respiratory failure","#CriticalCare","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","255573, 4027553","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,402,402
403,"[P] Acute Respiratory Failure in inpatient or Emergency room",403,"cohortNameLong : Acute Respiratory Failure in inpatient or Emergency room;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Acute Respiratory Failure in inpatient or Emergency room;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 319049;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Acute Respiratory Failure in inpatient or Emergency room",,"Acute Respiratory Failure in inpatient or Emergency room","Pending peer review","","all events of Acute Respiratory Failure in inpatient or Emergency room","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","319049","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,403,403
404,"[P] Ventricular Tachycardia, in an Inpatient or Emergency room setting",404,"cohortNameLong : Ventricular Tachycardia, in an Inpatient or Emergency room setting;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : Ventricular tachycardia with inpatient stay;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 437579, 4103295;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Ventricular Tachycardia, in an Inpatient or Emergency room setting",,"Ventricular Tachycardia, in an Inpatient or Emergency room setting","Pending peer review","","Ventricular tachycardia with inpatient stay","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","437579, 4103295","","",,,,,,404,404
405,"[P] Atrial Fibrillation or Flutter",405,"cohortNameLong : Atrial Fibrillation or Flutter;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Atrial Fibrillation or Flutter;
hashTag : ;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 313217;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-25","rao@ohdsi.org","Atrial Fibrillation or Flutter",,"Atrial Fibrillation or Flutter","Pending peer review","","All events of Atrial Fibrillation or Flutter","","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","313217","","",,,,,,405,405
406,"[P][R] Intellectual disability ",406,"cohortNameLong : Intellectual disability;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Intellectual disability. Persons exit on cohort end date;
hashTag : #Referent, #Condition;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 40277917;
ohdsiForumPost : ;
replaces : ;
","2023-05-31","2023-09-19","rao@ohdsi.org","Intellectual disability",,"Intellectual disability","Pending peer review","","all events of Intellectual disability. Persons exit on cohort end date","#Referent, #Condition","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","40277917","","",,,,,,406,406
