oldPhenotypeId,newPhenotypeId,phenotypeId,phenotypeName,referentConceptId,clinicalDescription,literatureReview,phenotypeNotes,deprecate
201340000,4043371000,201340000,Gastritis,201340,"Overview: [Deprecated in favor of 4043371000, Inflammatory Disoder of Gastrointestinal tract] Inflammation or erosion of the lining of the stomach, acute or chronic Presentation: upper belly pain, N/V, indigestion Assessment: clinical exam and palpation, Upper endoscopy and biopsy, screen for anemia and H. Pylori infection, fecal occult blood test Plan: Depends on the cause. Antacids, proton pump inhibitors, H-2 blockers, antibiotics . B12 shots if caused by pernicious anemia (vit B12 anemia)Prognosis: Improve quickly with treatment and elimination of irritating foods",,,Y
201606000,4043371000,201606000,Crohn's disease,201606,"Overview:  [Deprecate in favor of Inflammatory disorder of digestive tract, 4043371000] Is a disease with transmural inflammation anywhere in GI tract commonly with ulceration, by skip areas of involvement (ie, segments of normal-appearing bowel interrupted by areas of disease). The transmural inflammatory nature of Crohn disease may lead to fibrosis and strictures, leading to narrowing and obstructive clinical presentations. Also common are microperforation related symptoms because of sinus tracts and fistula formation. Crohn disease most commonly involves the ileum and proximal colon; however, any part of the gastrointestinal tract may be affected.Initial presentation: Common presentation are abdominal pain, diarrhea (with or without gross bleeding), fatigue, and weight loss. Assessment: Symptoms (eg, right lower quadrant abdominal pain, chronic intermittent diarrhea, fatigue, weight loss) and laboratory tests (eg, anemia, vitamin B12 deficiency, vitamin D deficiency). The diagnosis is established based results of colonoscopy with biopsy and histo pathologic examination that demonstrates segmental and transmural inflammation of the luminal gastrointestinal tract. Plan: Complex management that involves symptom management, diet management and drug therapy. Disease flares may occur, sometimes needing hospitalization. Prognosis: Life-long condition, with occasional remissions. It can progress to colon cancer.",,,Y
201620000,201620000,201620000,Kidney stone,201620,"Overview: Also called renal calculi, nephrolithiasis or urolithiasis are hard deposits made of minerals and salts that form inside the kidneys, but can develop anywhere along the urinary tract. Presentation: Severe pain (renal colic), usually in the side of the abdomen, N/V, blood in urine, can have fever and chills. If small kidney stone, may not have any pain or symptoms as the stone passes through the urinary tract. Assessment: History and physical, Blood tests (BUN and creatinine for kidney functioning), UA - Rule out obstruction - abdominal films, intravenous pyelogram (IVP), ultrasound of the kidney Plan: Pain relievers (narcotics) and drinking lots of water to help pass the stone. Medical procedures (lithotripsy) may be needed to remove or break up larger stones. Antibiotics if infection present. Large stones usually require surgical removal. Prognosis: Can have renal deterioration with certain stone types.",,,
,201820000,201820000,Diabetes Mellitus,201820,Overview: Presentation: Assessment: Plan: Prognosis:,,To do,
201826000,201820000,201826000,Type 2 diabetes mellitus,201826,"Overview: [Deprecate in favor of Diabetes Mellitus, 20182000] Type 2 DM accounts for 90% of all DM, and the generic use of Diabetes Mellitus almost always refers to Type 2.It is hyperglycemia and related complications usually due to progressive loss of insulin secretion from the pancreatic beta cells with background of insulin resistance. It is a state of 'relative' insulin deficiency - where insulin even when present may be less effective due to resistance. Presentation: The classic symptoms of hyperglycemia (including polyuria, polydipsia, nocturia, blurred vision, and weight loss) but these are most commonly observered in retrospect with most common mode of diagnosis is screening in asymptomatic patients, or seeking emergency care for hyperosmolar hyperglycemic state without ketoacidosis. Assessment: Oral glucose tolerance test and HbA1c, fasting blood glucose, lipid, liver function testsPlan: Initial management is achieve normoglycemic state with lifestyle modification - weight, diet. Metformin is commonly recommended first line, but treatment choices vary with presence of other risk factors. Progression may lead to dependence on insulin. Prognosis: life long disease that is amenable and managed",,,Y
201965000,201965000,201965000,Shock,201965,"Overview: Four types of non mutually exclusion shocks are recognized: distributive (septic, non septic - anaphylatic, neurogenic, SIRS), cardiogenic (cardiomyopathic - MI, arrythomogenic, mechanical), hypovolemic (hemorrhagic, non-hemorrhagic - diarrhoea, vomiting), and obstructive (pulmonary embolism, tension pneumothorax, pericardial tamponade, constrictive pericarditis). Cardiogenic shock is a subtype of shock phenotype where there is inability of the heart to pump an adequate amount of blood leading to decreased oxygen and nutrient delivery to the tissues and, if tissue perfusion reduction is prolonged, potentially end-organ damage and multi-system failure. Acute myocardial infarction (MI) with left ventricular failure is the most common cause of cardiogenic shock. Cardiogenic shock is the leading cause of death in patients with acute MI. Cardiogenic shock has persistent hypotension (systolic blood pressure <80 to 90 mmHg or mean arterial pressure 30 mmHg lower than baseline) with severe reduction in the cardiac index (<1.8 L/min per m2 without support or <2 to 2.2 L/min per m2 with support) with adequate filling pressures. Other causes of cardiogenic shock include acute mitral valve regurgitation, rupture of ventricular septal or free walls, cardiac tamponade. Septic shock is a subtype of shock phenotype with distributive type of shock. SIRS is a clinical syndrome that is characterized by a robust inflammatory response to infectious (or non infectious) insult. Sepsis, defined as a dysregulated host response to infection resulting in life-threatening organ dysfunction. There is a continuum of severity ranging from sepsis to septic shock. Staphylococcal toxic shock syndrome is a type of sepsis and a type of septic shock. Presentation: The cardinal features of shock, irrespective of shock type, include clinical manifestations of hypoperfusion such as hypotension (which occurs in most patients), oliguria, abnormal mental status, cold clammy skin, and evidence of metabolic acidosis on laboratory testing. The ""classic"" patient with cardiogenic shock has severe systemic hypotension, signs of systemic hypoperfusion (eg, cool extremities, oliguria, and/or alteration in mental status), and respiratory distress due to pulmonary congestion. Shock is a physiologic continumm that begins with inciting event that triggers physiological changes. Pre-shock/compensated shock is characterized by compensatory responses to diminished tissue perfusion - tachycardia, peripheral vasoconstriction, elevated systemic blood pressure. Shock - compensatory mechanisms are overwhelmed, organ dysfunction may start with dyspnea, restlessnes, diaphoresis, metabolic acidosis, hypotension. End-organ dysfunction including anuria, acute renal failure, acidemia, comma, death. Cardiogenic shock presentation is similar to other forms of shock (see shock phenotype) along with evidence of myocardial insult to explain the shock such as MI. Most patients who develop cardiogenic shock due to acute MI do so after hospital admission for MI because of eventual failure of intial compensatory mechanisms that protected the individual from hemodynamic failure with about 50% developing within 24 hours of infarct. Sepsis shock may be expected to have sepsis symptoms such as fever, tachycardia, elevated respiratory rate, abnormal white blood count, and severely ill looking.  Assessment: find the cause, evaluate for septic or cardiogenic or other causes. Diagnosis of cardiogenic shock requires strong clinical judgment by looking for some combination of difficulty breathing, hypotension, hypoperfusion, pulmonary congestion - supported by ECG abnormalality, chest x ray with pulmonary congestion, and wall motion abnormality on echocardiogram. To identify infection in suspected sepsis - blood/urine/sputum cultures, wound cultures if a wound present, lumbar puncture if indicated clinically,lactate level. Plan: Treat as emergency. ICU admission, hemodynamic monitoring with pulmonary artery catheterization if needed, vasopressor drugs (norepinephrine, dopamine), supplemental oxygen/ventilatory support, pH managment of lactic acidosis. Treat the cause. Cardiogenic shock- diagnostic coronary angiography, attempt reperfusion of heart if MI, coronary artery revascularization. fluid replenishment, hemodynamic monitoring and management, airway management and ventillation. For sepsis - may need to start with broad spectrum antibiotics after cultures are drawn (even when pending), and then narrow antibiotics based on results of susceptibility testing. Prognosis: highly variable. Cardiogenic shock - early revascularization has better prognosis.",,"Create cohort definitions for cardiogenic shock, septic shock (with subtype toxic shock syndrome), hypovolemic shock, mixed type shock",
254443000,254443000,254443000,Sjögren's syndrome,254443,"Overview: Sjogren's syndrome (SS) is a chronic autoimmune inflammatory disorder that is characterized by diminished lacrimal and salivary gland function. Primary form of SS occurs in isolation, while secondary forms maybe a complication or overlap with other rheumatic conditions, most commonly rheumatoid arthritis (RA) and systemic lupus erythematosus (SLE). Presentation: Sjogren’s syndrome is commonly associated with dryness and its sequela, pruritus, and in severe forms it may have extraglandular manifestations. Assessment: SS is suspected based on symptoms of persistent dry eyes, mouth, parotid gland enlargement, unexplained dental caries. Nonspecific but supportive of diagnosis are abnormal results of serologic tests - anti-Ro/SSA antibodies with or without anti-La/SSB antibodies. There is no single diagnostic test for SS. Plan: Ameliorate symptoms, prevent dryness related mucosal complicationsPrognosis: Chronic lifelong when not managed leads to reduced quality of life. With good management, DM induced end organ damage such as chronic kidney disease may be reduced.",,,
254761000,4094294000,254761000,Cough,254761,"Overview: [Deprecated in favor of Clinical Signs and Symptoms 4094294000] Cough is commonly classified by duration with acute cough lasting < 3 weeks, sub-acute (3 to 8 weeks), chronic (> 8 weeks). Cough is the result of irritation to cough receptors that are triggered by chemical/mechanical stimuli and are present in many areas in the body including pericardium, diaphragm, stomach. Presentation: Cough is a common manifestation of several conditions. Acute cough may be a symptom of an infection, while the chronic cough may be because of gastroesophageal reflux disease, asthma, drugs like ACE inhibitors, chronic bronchitis, eosinophilc bronchitis, lung cancer, smoking etc. Assessment: History is most important for diagnosis to understand the duration and inciting factors of the cough. Assessment: depends on the underlying suspected cause. Plan: Specific treatment is to identify and treat the underlying disease. Non specific treatment includes centrally acting antitussive agents like dextromethorphan, codeine, morphine. Prognosis: Good, if eliciting agent may be identified and eliminated.",,,Y
255573000,255573000,255573000,Chronic obstructive lung disease,255573,"Overview: COPD is a chronic inflammatory lung disease that causes obstructed airflow from the lungs. Emphysema and chronic bronchitis are the two most common conditions that contribute to COPD. Presentation: SOB,breathing difficulty, cough, mucus (sputum) production and wheezing, frequent respiratory infectionsAssessment: Signs and symptoms, medical history, exposure to lung irritants (cigarette smoke). Pulmonary functions tests, CXR, CT scan, ABGPlan: Smoking cessation. Oxygen therapy. Bronchodilators, inhaled or oral steroids, Phosphodiesterase-4 inhibitors, theophylline, antibiotics. Surgery for severe emphysemaPrognosis: Progressive disease that gets worse over time, but treatable. Can achieve good symptom control and quality of life.",,,
255848000,255848000,255848000,Pneumonia,255848,"Overview: Pneumonia is acute infection of pulmonary parenchyma. It is commonly dividied into two categories based on source of infection into Community-acquired pneumonia (CAP) - most common and nosocomial (hospital) acquired pneumonia. Presentation: cough, fever, pleuritic chest pain, dyspnea, and sputum. Leukocytosis, consolidation/interstial infiltrates on chest X-ray. Atypical pneumonia (mycoplasma pneumonia have milder presentation with cough)Assessment: history of hospitalization to determine if noscomial pneumonia. Determine the need to hospitalize vs outpatinet management. Plan: targeted antimicrobials after isolating pathogen is preferred, but rarely practical. Blood cultures may be positive in many hospitalized. S. pneumoniae is most common bacterial, while Influenza is common for viral pneumonia. Prognosis: treatment may lead to good recovery",,,
257007000,43021226000,257007000,Allergic rhinitis,257007,"Overview: Allergic rhinitis, or hay fever, is an allergic response to specific allergens. Pollen is the most common allergen in seasonal allergic rhinitis. Types can be seasonal allergies usually occur during the spring and fall season and are typically in response to outdoor allergens like pollen OR can be perennial allergies which occur year round, or at any time during the year in response to indoor substances, like dust mites and pet dander. Presentation: Sneezing, runny/stuffy/itchy nose, coughing, sore throat, itchy/watery eyes, headaches Assessment: Physical exam, skin prick test, radioallergosorbent test (RAST) measuring amount of immunoglobulin E antibodies to particular allergensPlan: Antihistamines, decongestants, eye drops nad nasal sprays, can do allergy shots or sublingual immunotherapy (SLIT)Prognosis: Can require long-term treatment or can be managed well with medications",,,Y
257628000,257628000,257628000,Systemic lupus erythematosus,257628,"Overview: is a chronic autoimmune disease of unknown cause that can affect virtually any organ of the body with the production of antinuclear antibodies (ANA). Presentation: wide variations from mild joint/skin disease to life threatening multiorgan failure. There is a no pathognomonic feature. Constitutional symptoms of fatigue, fever is common. Mucocutaneous symptoms of such as butterfly rash are commonly described. Arthritis occurs in most of the patients. Assessment: Diagnosis requires clinical judgment and is based on presenting symptoms, clinician should exclude all other differential diagnosis, along with supportive laboratory finding of ANA positivity. There are multiple diagnostic aids (criteria). ANA negative lupus has been recognized. Plan: Several non-pharmacologic therapies has been proposed. Hydroxychloroquine is commonly used. Immunosuppressive therapy including methylprednisone, azathioprine is used in acute exacerbations. Belimumab is approved for use in SLE by FDA. Prognosis: The disease course involves unpredictable flares and remissions. This is a lifelong chronic disease that may progress to multi organ failure with some known prognostic indicators such as young age at onset, preexisting renal disease, race etc.",,,
312327000,312327000,312327000,Acute myocardial infarction,312327,"Overview: Medical emergency, anoxic tissue injury to myocardium because of decreased blood suppy due to blockage of coronary blood vessels. Presentation: Tightness or pain in the chest, neck, back, or arms, shortness of breath, sweating, N/V as well as fatigue, lightheadedness, abnormal heartbeat, and anxiety. Assessment: Risk factors (HTN, high chol levels, diabetes, obesity, smoking, age, family hx), EKG, troponin (looking for heart damage), stress test, angiogram, and echocardiogramPlan: Immediate priority of thrombolysis and/or reperfusion of the myocardium. Blood thinner (aspirin), thrombolytics, antiplatelet, nitroglycerin, beta-blockers, ACE inhibitors. Cardiac stents or CABG Prognosis: Recovery from a heart attack depends on how much heart damage occurs and and how quickly emergency care is received. New events may occur in future. After recovery from the acute event, patient may develop chronic symptoms of myocardial injury including congestive heart failure.",,,
312437000,4094294000,312437000,Dyspnea,312437,"Overview: [Deprecated in favor of Clinical Signs and Symptoms 4094294000] Subjective feeling of difficultly or labored breathing, maybe acute new onset, or chronic long standing. Commonly caused because of respiratory causes, but maybe secondary to cardiovascular (Congestive heart failure) or neuromuscular/obstruction. Presentation: Labored breathing of varying duration and exacerbated by activity. Maybe associated with panic, anxiety and airhunger. Assessment: Determine if acute or chronice, if cardiovascular or pulmonary or other reasons. Plan: Ensure adequate oxygenation, and manage hypercapnia. Specific management depends on cause. Prognosis: Acute dyspnea is commonly resolved after correcting the inciting cause. Chronic disease during lung or cardiovacscular disease may recur, relapse or worsen based on underlying disease.",,,Y
312939000,312939000,312939000,Thromboangiitis obliterans,312939,"Overview: Previously known as Buerger's disease, TAO is characterized by  a nonatherosclerotic (not due to cholesterol plaque), segmental inflammatory thrombotic vessel occlusions, that affects the small to medium-sized arteries and veins of the extremities (upper and lower). It is distinguished pathologically from other forms of vasculitis by a highly cellular, inflammatory intraluminal thrombus but no fibrinoid necrosis and the presence of an intact internal elastic membrane. Although smoking is important to the pathogenesis, the specific etiologic mechanism remains unknown. Inflammatory, immunologic, and endothelial factors play a role.  Most common in young tobacco and marijuana smokers. Presentation: Ischemia of the distal extremities (fingers/toes/hands/feet), ischemic digit ulcers or digit gangrene. In people typically younger than age 45 years, the condition is distinguished from other forms of vasculitis by a highly cellular, inflammatory intraluminal thrombus with relative sparing of the vessel wall and, more specifically, sparing of the internal elastic lamina. Although distal vessel involvement causes distal ischemia in other vasculitides, serologic markers are negative in thromboangiitis obliterans. Assessment: Painful ulceration or ischemia of part or all of fingers/toes due to lack of blood supply not reversible with heat. Allen test (to evaluate for blood flow in the radial and ulnar artery) should be performed - if positive in the wrist of a young smoker is highy predictive of TAO. CBC, CMP, UA, serologies for sed rate, CRP, ANA, RF, complement, cryoglobulins, hyprecoagulability test, toxicology (cocaine, amphetamine, cannabis). Plan: Tobacco and/or marijuanna cessation. Calcium channel blockers, IV prostaglandins or phosphodiesterase inhibitorss to vasodilate. Interventional revascularization. Prognosis: Amputation of affected digits if medical therapy, revascularization and smoking cessation does not reverse the damages.",,,
313217000,44784217000,313217000,Atrial fibrillation,313217,"Overview: [Deprecated in favor of Cardiac Arrythmia, 44784217000] Afib is a quivering or irregular heartbeat (arrhythmia) that can lead to blood clots, stroke, heart failure and other heart-related complications, poor blood flow. Presentation: Can have no symptoms, or can have palpitations, SOB, fatigue, very irregular and rapid heart rate - episodes come and go or develop Afib that does not go away Assessment:ECG (dx Afib), holter monitor, echo, r/o thyroid issues, stress test and CXR Plan: anti-arrhythmic meds, digoxin, beta blockers, calcium channel blockers, anticouagulants, cardioversion, ablation Prognosis: Chronic, serious condition but usually not life-threatening, can have a normal and active life if treated",,,Y
313223000,4137275000,313223000,Granulomatosis with polyangiitis,313223,"Overview: [Deprecated in favor of 4137275000 Vasculitis] A spectrum of vasculitis associated with ANCA (antineutrophil cytoplasmic autoantibody). Previously known as Churg-Strauss disease. Presentation: fatigue, fever, weight loss, arthralgias, rhinosinusitis, cough and dyspnea, urinary abnormalities (an active urine sediment) with or without renal insufficiency, purpura, and neurologic dysfunction. Assessment: Nasal or oral inflammation (painful or painless oral ulcers, or purulent or bloody nasal discharge), Abnormal chest radiograph showing nodules, fixed infiltrates, or cavities, Abnormal urinary sediment (microscopic hematuria with or without red cell casts), Granulomatous inflammation on biopsy of an artery or perivascular area. Plan: If organ threatening (kidney involvement such as glmerulonephritis, pulmonary hemorrhage, progressive neuropathy, pericarditis or myocarditis) - glucocorticoids PLUS cyclophosphamide or rituximab. Treatment failure may require plasma exchange. Typically requires maintenance therapy after control of acute episode. Non life threatening disease can be treated with glucocorticoids plus methotrexate. Prognosis: can progress rapidly over days, or slowly over months. Can relapse.",,,Y
313459000,313459000,313459000,Sleep apnea,313459,"Overview: A potentially serious sleep disorder in which breathing repeatedly stops and starts. Involuntary cessation of breathing that occurs while asleep. Presentation: snoring loudly and feeling tired even after a full night's sleep, dry mouth, insomnia, irritabilityAssessment: sleep history, overnight monitoring at a sleep center (Nocturnal polysomnography)Plan: lifestyle changes, Continuous positive airway pressure (CPAP), oral appliances (keeping the throat open), surgeryPrognosis: Can be diagnosed and treated.",,,
313800000,313800000,313800000,Thrombotic microangiopathy,313800,"Overview: TMA is potentially life threatening condition due to abnormalities in the vessel wall of arterioles and capillaries leading to microvascular thrombosis. It almost always leads to microagniopathic hemolytic anemia (MAHA) and thrombocytopenia - but MAHA and thrombocytopenia may be caused by several other conditions. Before making diagnosis of TMA, other systemic disorders that can cause MAHA and thrombocytopenia need to be excluded including - HELLP syndrome, systemic malignanices, sepsis and systemic infections, systemic rheumatic disorders like SLE, systemic sclerosis, stem cell or organ transplant, DIC etc. TMA is classified into two main types, Primary TMA (heriditary thrombotic thrombocytopenic purpura TTP, acquired TTP, shiga toxin mediated hemolytic uremic syndrome (ST-HUS), drug-induced TMA (DITMA) sydrome, complement-mediated TMA. DITMA is an acquired condition resulting from exposure to a drug (eg, medication, other substance) that induces formation of drug-dependent antibodies or causes direct tissue toxicity that results in the formation of platelet-rich thrombi in small arterioles or capillaries. Presentation: Common initial presentations include unexplained anemia or thrombocytopenia, unexplained neurologic findings (suspected stroke or transient ischemic attack), or other acute illness. Diarrhoes if ST-HUS. Assessment: peripheral smear to confirm anemia, hemolysis and/or thrombocytopenia. Tissue biopsy (usually of kidney) is required for pathologic diagnosis, but clinical diagnosis is commonly performed by the observation of microagniopathic hemolytic anemia (MAHA) and thrombocytopenia.  LDH, evaluate for shiga toxin (especially in the presence of hemolytic uremic syndrome), serum creatinine, urine output daily. Exclude other systemic disorder (HELLP). Plan: Treatment of underlyng condition, plasma exchange, or anti-complement therapy. revascularization for cardiac microangiopathy. platelet transfusion for severe thrombocytopenia, red blood cell transfusion for severe anemia. Prognosis: Poor in the absence of therapy, including myocardial ischemia, renal failure.",,,
314381000,4137275000,314381000,Kawasaki's disease,314381,"Overview: [Deprecate in favor of vasculitis 4137275000] aka mucocutaneous lymph node syndrome is a vasculities of childhood (rare in adults) affecting medium-sized arteries throughout the body. Typpically self-limited with fever and and inflammation lasting about 2 weeks withouth therapy, but may lead to complications such as coronary artery aneurysms, heart failure, myocardial infarction, arrythmia, peripheral arterial occulsion. Presentation: fever (> 5 days) with signs of mucocutaneous inflammation (fissured lips, injected pharynx, strawberry tongue, mucositis), bilateral bulbar conjunctival injection, erythema of palms or soles, edema, desquamation of periungual areas, polymorphous rash, cervical lymphadenopathy, arthritis. Diagnosis is by clinical judgment and ruling out other causes. Assessment: The condition most often affects kids younger than 5 years old. Need to rule out other diseases like infectious conjunctivitis, pharyngitis etc - no specific test available. Plan: Lower fever and inflammation and prevent heart damage.  Treatment with intravenous immune globulin (IVIG) within the first 10 days of illness may reduce the prevalence of coronary artery (CA) aneurysms. Prognosis: Treatable and most recover. Signs and symptoms slowly go away unless complications develop (can take up to 8 weeks to resolve).",,,Y
314383000,314383000,314383000,Myocarditis,314383,"Overview: Inflammatory disease of the myocardium (heart muscle) due to infectious or non infectious (autoimmune disease, drug hypersensitivity, toxins). Acute myocarditis is a condition with symptoms of heart failure developing over three months or less. Chronic myocarditis is myocarditis developing over greater than three months. Inflammatory cardiomyopathy is defined as myocarditis that is accompanied by cardiac dysfunction, and may lead to dilated cardiomyopathy or other cardiomyopathies. Presentation: Chest pain, fatigue, heart failure, cardiogenic shock, arrhythmias, sudden death. Assessment: ECG, CBC (to evaluate for eosinophilic myocarditis), serum troponin, BNP or pro BNP, chest X ray, cardiac imaging (echocardiogram, angiogram, MRI). As last resort biopsy of the heart muscle. Plan: Treat underlying cause (antibiotics for bacterial infection, withdrawal of toxins) management of heart failure if present, critical care as appropriate, treatment of arrhythmias, anticoagulation if needed. Prognosis: Variable, from self-limited to death.",,,
316139000,316139000,316139000,Heart failure,316139,"Overview: For use of generic term, 'heart failure' consider the cohort definition for 'acute decompensated left heart failure' that is managed as an emergency. The other cohort definition options include chronic stable compensated left heart failure, corpulmonale (right heart failure) with pulmonary hypertension. Heart Failure is a clinical syndrome of dyspnea, fatigue and fluid retention because of the inability of the heart to pump sufficient blood to meet the  metabolic demands of peripheral tissues, or ability to do so only at abnormally high cardiac filling pressures. Classified in many ways, low output vs high output cardiac failure, left-side vs right-side cardiac failure, backward vs forwad cardiac failure, systolic vs diastolic cardiac failure, based on ejection fraction (< 40%, 40 to 49%, >= 50% HF with presevered ejection fraction), functional level (Class 1 to 4 - symptoms at rest). Congestive heart failure is left-sided heart failure and is associated with pulmonary edema. Presentation: From pulmonary edema such as Progressive dyspnea, paroxysmal noctural dysnpnea, orthopnea, abdominal or peripheral congestion/edema, tiredness, dizziness. In some cases of chronic compensated heart failure, the patient may be asymptomatic. Assessment: Evaluate the cause (including precipitating cause if acute on chronic) with extensive investigation on incident acute heart failure. BNP, ProBNP, ECG, ECHO to measure ejection fraction and wall motion abnormalities, CXR, catheterization, stress test, sleep study etc. Assess grade based on NYHA. Plan: depends on the type of cardiac failure. Congestive heart failure - diuresis, morphine, nitrates, oxygen NIV, position. For low perfusion - inotropes, mechanical support. In addition care cordination and cardiac rehabilitation, goal of treatment is to improve quality of life and reduce hospitalization, slow progression. Diuretics, beta blockers, ACE-/ARBs are part of initial therapy. Manage complications such as arrythmia with need for defibrillator and anticoagulants, heart transplant. Prognosis: depends on grade, progression and presence of complications. Life long chronic disease. If well managed, can lead to compensated aymptomatic state.",,"acute decompensated left heart failure' that is managed as an emergency. The other cohort definition options include chronic stable compensated left heart failure, corpulmonale (right heart failure) with pulmonary hypertension. Funcitonal status. Decompensation of chronic (acute on) heart failure. incident heart failure. surrogates for stages in heart failure",
316866000,316866000,316866000,Hypertensive disorder,316866,"Overview: A condition in which the force of the blood against the artery walls is too high. Elevated or increased blood pressure (BP); High blood pressure; Hypertension (HTN); Systemic hypertension. Primary (essential) hypertension and Seconday hypertension (caused by and underlying condition). Presentation: No signs and symptoms. can have headaches, SOB or nosebleeds (these occur when blood pressure reaches a severe stage). Assessment: Stage 1 HTN - systolic pressure ranging from 130 to 139 mm Hg or a diastolic pressure ranging from 80 to 89 mm Hg; and Stage 2 - systolic pressure of 140 mm Hg or higher or a diastolic pressure of 90 mm Hg or higher. 2 - 3 BP readings each at three or more separate appointments before diagnosing. Plan: Lifestyle, medications - Thiazide diuretics, Angiotensin-converting enzyme (ACE) inhibitors, Angiotensin II receptor blockers (ARBs), calcium channel blockers, alpha-beta blockers (many other meds). Prognosis:  If untreated, it can cause health conditions, such as heart disease and stroke.",,update description,
317009000,317009000,317009000,Asthma,317009,"Overview: Chronic (long-term) condition that causes the airways in the lungs to become inflamed and narrow (mild-moderate-severe)Presentation: Symptoms vary from person to person and changes over time, SOB, chest tighness, wheezing when exhaling, coughing, asthma attacks brought on by a triggger (exercise, occupational irritants, allergies) Assessment: History and physical, spirometry, and peak flows Plan: Bronchodilator, inhaled corticosteroids, allergy medicines (prevention of asthma attacks) Prognosis: Cannot be cured, but its symptoms can be controlled. Sever asthma attacks can be life-threatening.",,,
317576000,4185932000,317576000,Coronary arteriosclerosis,317576,"Overview: [Deprecated in favor of Chronic Coronary Syndrome 4185932000] is a pathological diagnosis of atherosclerotic changes in the coronary blood vessels. Presentation: The prevalence of coronary arteriosclerosis in population is almost 100%, with only a small number of individuals having symptomatic areteriosclerosis (ischemia). Assessment: evaluation is usually done after the first symptom suspected to be due to coronary vascular disease. Plan: risk factor management such as lipid management. Prognosis: may be managed with life style modfication or pharmacological interventions.",,,Y
318443000,318443000,318443000,Arteriosclerotic vascular disease,318443,"Overview: is an arteriopathy from atherosclerosis, that may begin at childhood with the development of fatty streaks. Fibrous cap, plaque form as the lesion advances. Presentation: Coronary artery disease, peripheral vascular disease, cerebral vascular disease. Assessment: depends on the symptoms and vessels involved. Dyslipidemia testingPlan: lifestyle changes, diet and excercise, statins, anticouagulant cholesterol meds, coronary stent, angioplastyPrognosis: chronic disease, rarely reversible unless very early, progressive in the presence of risk factors. may lead to end organ damage thru ischemic stroke.",,Needs revision - non specific,
318736000,318736000,318736000,Migraine,318736,"Overview: Migraine disorders are classes of debilitating, severe headaches with other physical symptoms. Prevalence has been estimated that 10-15% of all patients worldwide experience a migraine disorder at some point. Presentation: Symptoms include severe headaches, nausea, sensitivity to light an irritability. Two broad categories exist; those with and without visual auras. Gender appears to be a strong component, where women are approximately 3 times more likely to report migraines than men and reported symptoms are also more severe. Assessment: There is no formal diagnostic test for migraines. Diagnosis is achieved by reviewing family and patient medical history, physical examination and performing investigations to rule out other causes of the symptoms. A migraine disorder is classed as chronic when symptoms persist for >=15 days in a calendar month. Plan: Standard pain medication such as ibuprohen or acetaminophen is suggested for initial treatment. Triptans or ergotamines are suggested where simple pain medication does not help. There is no cure or widely accepted treatment thought to prevent most causes of migraine. Prognosis: Migraine disorders are debilitating conditions that have no clear path of treatment with many patients having problems throughout their lives.",,,
318800000,318800000,318800000,Gastroesophageal reflux disease,318800,"Overview: GERD is persistent acid reflux that occurs more than twice a week. Many people occasionally experience gastroesophageal reflux (GER)Presentation: ""heartburn"", burning pain in the chest that usually occurs after eating and worsens when lying down, N/V, bad breath, difficulty or pain when swallowing Assessment: Esophageal pH and impedance monitoring, upper GI endoscope, upper GI series, Esophageal manometryPlan: life-style changes, protein pump inhibitors, (decrease the amount of acid produced by the stomach), can use antacids, H2 blockers, prokinetics, and erythromycin. surgical options - Fundoplication, Endoscopic proceduresPrognosis: Chronic. GERD can worsen if left untreated and turn into other conditons - esophagitis, Barrett’s esophagus",,,
319041000,319041000,319041000,Orthostatic hypotension,319041,"Overview: (Postural hypotension). A form of low blood pressure (BP) that happens when standing up from sitting or lying down. Defined as a decrease in systolic BP of 20 mm Hg or a decrease in diastolic BP of 10 mm Hg within 3 minutes of standing when compared with BP from the sitting or supine position. Presentation: Upon standing - dizziness, lightheadedness, blurred vision, weakness, fatigue, nausea, palpitations, and headache. May be acute or chronic, as well as symptomatic or asymptomatic. Assessment: orthostatic vital signs, tilt table test Plan: Identifying reversible causes and underlying associated medical conditions to restore normal BP, medications to increae blood volume Prognosis: Symptoms usually clear up when you sit or lie down for a few minutes. Can be treated successfully.",,,
319049000,4256228000,319049000,Acute Respiratory Failure,319049,"Overview: [DEPRECATED in favor of 'Respiratory Failure' phenotype 4256228000. Acute respiratory failure is a cohort subsumed by Respiratory Failure] Respiratory failure is one of the most common reasons for ICU admission and is classified mechanistically into Type 1-4 respiratory failure. Type 1 (alveloar flooding e.g. pulmonary edema - occurring in sepsis, pneumonitis due to aspiration/chemical, pneumonia, near drowning, etc - hypoxemic Pao2 < 60), Type 2 (due to alveolar hypoventillation and CO2 retention - CNS depression, respiratory muscle weakness. Muscle failure may occur due to bronchoconstriction, atelectasis or pneumothorax type of insults - hypercapnic, Paco2 > 45, often with hypoxemia), Type 3 (atelectasis including perioperative atelectasis), Type 4 (hypoperfusion of respiratory muscles). Presentation: Maybe acute, chronic or acute on chronic. S/S of ARDS. Assessment: Physical exam, pulse oximetry, arterial blood gas (ABG), and chest xray, bronchoscopy. Plan: Supprotive therapy O2 including breathing treatment, NIV or IV intuabation/tracheostomy + treat the inciting cause + monitor. Prognosis: long-term, ischemic injury related sequela. Mechanical ventillation may cause barotrauma.",,DELETE in favor of 4256228000 respiratory failure,Y
