cohortName,ruleSequence,ruleName,cohortId
842,1,"MSI-L, MSI-indeterminate, MSS or pMMR",842
843,0,NO MSI-H or dMMR,843
843,1,"MSI-L, MSI-indeterminate, MSS or pMMR",843
843,2,No surgery,843
843,3,Rectal cancer,843
844,0,NO MSI-H or dMMR,844
844,1,"MSI-L, MSI-indeterminate, MSS or pMMR",844
844,2,No surgery or oncological treatment,844
845,0,NO MSI-H or dMMR,845
845,1,"MSI-L, MSI-indeterminate, MSS or pMMR",845
845,2,Rectal cancer,845
846,0,No surgery,846
846,1,Rectal cancer,846
847,0,Rectal cancer,847
848,0,"No surgery, No oncological treatment",848
856,0,Migraine ,856
864,0,age >= 18 years old,864
865,0,Age above 18 years,865
865,1,Inpatient visit on day of surgery without ER visit immediately on or prior,865
866,0,Age above 18 years,866
866,1,Inpatient visit on day of surgery without ER visit immediately on or prior,866
866,2,Atrial fibrillation (any) within 14d of surgery,866
866,3,No prior atrial fibrillation ,866
867,0,Age above 18 years,867
867,1,Inpatient visit on day of surgery without ER visit immediately on or prior,867
868,0,Age above 18 years,868
868,1,Inpatient visit on day of surgery without ER visit immediately on or prior,868
869,0,Age above 18 years,869
869,1,Inpatient visit on day of surgery without ER visit immediately on or prior,869
870,0,Age above 18 years,870
870,1,Inpatient visit on day of surgery without ER visit immediately on or prior,870
871,0,Age above 18 years,871
871,1,Inpatient visit on day of surgery without ER visit immediately on or prior,871
872,0,Age above 18 years,872
872,1,Inpatient visit on day of surgery without ER visit immediately on or prior,872
873,0,Age above 18 years,873
873,1,Inpatient visit on day of surgery without ER visit immediately on or prior,873
874,0,Age above 18 years,874
874,1,Inpatient visit on day of surgery without ER visit immediately on or prior,874
875,0,Age above 18 years,875
875,1,Inpatient visit on day of surgery without ER visit immediately on or prior,875
876,0,Age above 18 years,876
876,1,Inpatient visit on day of surgery without ER visit immediately on or prior,876
877,0,Age above 18 years,877
877,1,Inpatient visit on day of surgery without ER visit immediately on or prior,877
877,2,Atrial fibrillation (paroxysmal) within 14d of surgery,877
877,3,No prior atrial fibrillation ,877
878,0,Age above 18 years,878
878,1,Inpatient visit on day of surgery without ER visit immediately on or prior,878
878,2,Atrial fibrillation (any) within 14d of surgery,878
878,3,No prior Atrial fibrillation,878
980,0,Hospitalization,980
